symbol,date,price
MSFT,Mar-08,39.81
MSFT,Apr-08,36.35
MSFT,May-08,43.22
MSFT,Jun-08,28.37
MSFT,Jul-08,25.45
MSFT,Aug-08,32.54
MSFT,Sep-08,28.4
MSFT,Oct-08,28.4
MSFT,Nov-08,24.53
MSFT,Dec-08,28.02
MSFT,Jan-09,23.34
MSFT,Feb-09,17.65
MSFT,Mar-09,24.84
MSFT,Apr-09,24
MSFT,May-09,22.25
MSFT,Jun-09,27.56
MSFT,Jul-09,28.14
MSFT,Aug-09,29.7
MSFT,Sep-09,26.93
MSFT,Oct-09,23.21
MSFT,Nov-09,20.82
MSFT,Dec-09,23.65
MSFT,Jan-10,26.12
MSFT,Feb-10,26.95
MSFT,Mar-10,25.92
MSFT,Jan-00,23.73
MSFT,Feb-00,24.53
MSFT,Mar-00,21.26
MSFT,Apr-00,20.71
MSFT,May-00,22.25
MSFT,Jun-00,19.52
MSFT,Jul-00,19.97
MSFT,Aug-00,17.79
MSFT,Sep-00,21.75
MSFT,Oct-00,23.46
MSFT,Nov-00,21.03
MSFT,Dec-00,19.31
MSFT,Jan-01,19.34
MSFT,Feb-01,19.76
MSFT,Mar-01,20.87
MSFT,Apr-01,20.09
MSFT,May-01,20.93
MSFT,Jun-01,21.56
MSFT,Jul-01,21.65
MSFT,Aug-01,22.69
MSFT,Sep-01,21.45
MSFT,Oct-01,21.1
MSFT,Nov-01,22.46
MSFT,Dec-01,22.69
MSFT,Jan-02,21.77
MSFT,Feb-02,20.46
MSFT,Mar-02,21.45
MSFT,Apr-02,21.53
MSFT,May-02,23.44
MSFT,Jun-02,23.38
MSFT,Jul-02,22.47
MSFT,Aug-02,22.76
MSFT,Sep-02,23.02
MSFT,Oct-02,24.6
MSFT,Nov-02,24.52
MSFT,Dec-02,24.11
MSFT,Jan-03,23.15
MSFT,Feb-03,22.24
MSFT,Mar-03,23.28
MSFT,Apr-03,23.82
MSFT,May-03,22.93
MSFT,Jun-03,23.64
MSFT,Jul-03,25.35
MSFT,Aug-03,23.83
MSFT,Sep-03,23.8
MSFT,Oct-03,25.71
MSFT,Nov-03,24.29
MSFT,Dec-03,26.14
MSFT,Jan-04,25.04
MSFT,Feb-04,25.36
MSFT,Mar-04,22.5
MSFT,Apr-04,21.19
MSFT,May-04,21.8
MSFT,Jun-04,22.51
MSFT,Jul-04,24.13
MSFT,Aug-04,25.68
MSFT,Sep-04,26.96
MSFT,Oct-04,27.66
MSFT,Nov-04,28.13
MSFT,Dec-04,29.07
MSFT,Jan-05,26.63
MSFT,Feb-05,26.35
MSFT,Mar-05,28.3
MSFT,Apr-05,29.11
MSFT,May-05,27.95
MSFT,Jun-05,27.5
MSFT,Jul-05,27.34
MSFT,Aug-05,28.04
MSFT,Sep-05,35.03
MSFT,Oct-05,32.09
MSFT,Nov-05,34
MSFT,Dec-05,31.13
MSFT,Jan-06,26.07
MSFT,Feb-06,27.21
MSFT,Mar-06,27.34
MSFT,Apr-06,27.25
MSFT,May-06,26.47
MSFT,Jun-06,24.75
MSFT,Jul-06,26.36
MSFT,Aug-06,25.78
MSFT,Sep-06,21.57
MSFT,Oct-06,19.66
MSFT,Nov-06,18.91
MSFT,Dec-06,16.63
MSFT,Jan-07,15.81
MSFT,Feb-07,17.99
MSFT,Mar-07,19.84
MSFT,Apr-07,20.59
MSFT,May-07,23.42
MSFT,Jun-07,23.18
MSFT,Jul-07,24.43
MSFT,Aug-07,25.49
MSFT,Sep-07,27.48
MSFT,Oct-07,29.27
MSFT,Nov-07,30.34
MSFT,Dec-07,28.05
MSFT,Jan-08,28.67
MSFT,Feb-08,28.8
AMZN,Mar-08,64.56
AMZN,Apr-08,68.87
AMZN,May-08,67
AMZN,Jun-08,55.19
AMZN,Jul-08,48.31
AMZN,Aug-08,36.31
AMZN,Sep-08,30.12
AMZN,Oct-08,41.5
AMZN,Nov-08,38.44
AMZN,Dec-08,36.62
AMZN,Jan-09,24.69
AMZN,Feb-09,15.56
AMZN,Mar-09,17.31
AMZN,Apr-09,10.19
AMZN,May-09,10.23
AMZN,Jun-09,15.78
AMZN,Jul-09,16.69
AMZN,Aug-09,14.15
AMZN,Sep-09,12.49
AMZN,Oct-09,8.94
AMZN,Nov-09,5.97
AMZN,Dec-09,6.98
AMZN,Jan-10,11.32
AMZN,Feb-10,10.82
AMZN,Mar-10,14.19
AMZN,Mar-08,14.1
AMZN,Apr-08,14.3
AMZN,May-08,16.69
AMZN,Jun-08,18.23
AMZN,Jul-08,16.25
AMZN,Aug-08,14.45
AMZN,Sep-08,14.94
AMZN,Oct-08,15.93
AMZN,Nov-08,19.36
AMZN,Dec-08,23.35
AMZN,Jan-09,18.89
AMZN,Feb-09,21.85
AMZN,Mar-09,22.01
AMZN,Apr-09,26.03
AMZN,May-09,28.69
AMZN,Jun-09,35.89
AMZN,Jul-09,36.32
AMZN,Aug-09,41.64
AMZN,Sep-09,46.32
AMZN,Oct-09,48.43
AMZN,Nov-09,54.43
AMZN,Dec-09,53.97
AMZN,Jan-10,52.62
AMZN,Feb-10,50.4
AMZN,Mar-10,43.01
AMZN,Jan-00,43.28
AMZN,Feb-00,43.6
AMZN,Mar-00,48.5
AMZN,Apr-00,54.4
AMZN,May-00,38.92
AMZN,Jun-00,38.14
AMZN,Jul-00,40.86
AMZN,Aug-00,34.13
AMZN,Sep-00,39.68
AMZN,Oct-00,44.29
AMZN,Nov-00,43.22
AMZN,Dec-00,35.18
AMZN,Jan-01,34.27
AMZN,Feb-01,32.36
AMZN,Mar-01,35.51
AMZN,Apr-01,33.09
AMZN,May-01,45.15
AMZN,Jun-01,42.7
AMZN,Jul-01,45.3
AMZN,Aug-01,39.86
AMZN,Sep-01,48.46
AMZN,Oct-01,47.15
AMZN,Nov-01,44.82
AMZN,Dec-01,37.44
AMZN,Jan-02,36.53
AMZN,Feb-02,35.21
AMZN,Mar-02,34.61
AMZN,Apr-02,38.68
AMZN,May-02,26.89
AMZN,Jun-02,30.83
AMZN,Jul-02,32.12
AMZN,Aug-02,38.09
AMZN,Sep-02,40.34
AMZN,Oct-02,39.46
AMZN,Nov-02,37.67
AMZN,Dec-02,39.14
AMZN,Jan-03,39.79
AMZN,Feb-03,61.33
AMZN,Mar-03,69.14
AMZN,Apr-03,68.41
AMZN,May-03,78.54
AMZN,Jun-03,79.91
AMZN,Jul-03,93.15
AMZN,Aug-03,89.15
AMZN,Sep-03,90.56
AMZN,Oct-03,92.64
AMZN,Nov-03,77.7
AMZN,Dec-03,64.47
AMZN,Jan-04,71.3
AMZN,Feb-04,78.63
AMZN,Mar-04,81.62
AMZN,Apr-04,73.33
AMZN,May-04,76.34
AMZN,Jun-04,80.81
AMZN,Jul-04,72.76
AMZN,Aug-04,57.24
AMZN,Sep-04,42.7
AMZN,Oct-04,51.28
AMZN,Nov-04,58.82
AMZN,Dec-04,64.79
AMZN,Jan-05,73.44
AMZN,Feb-05,80.52
AMZN,Mar-05,77.99
AMZN,Apr-05,83.66
AMZN,May-05,85.76
AMZN,Jun-05,81.19
AMZN,Jul-05,93.36
AMZN,Aug-05,118.81
AMZN,Sep-05,135.91
AMZN,Oct-05,134.52
AMZN,Nov-05,125.41
AMZN,Dec-05,118.4
AMZN,Jan-06,128.82
IBM,Feb-06,100.52
IBM,Mar-06,92.11
IBM,Apr-06,106.11
IBM,May-06,99.95
IBM,Jun-06,96.31
IBM,Jul-06,98.33
IBM,Aug-06,100.74
IBM,Sep-06,118.62
IBM,Oct-06,101.19
IBM,Nov-06,88.5
IBM,Dec-06,84.12
IBM,Jan-07,76.47
IBM,Feb-07,100.76
IBM,Mar-07,89.98
IBM,Apr-07,86.63
IBM,May-07,103.7
IBM,Jun-07,100.82
IBM,Jul-07,102.35
IBM,Aug-07,94.87
IBM,Sep-07,90.25
IBM,Oct-07,82.82
IBM,Nov-07,97.58
IBM,Dec-07,104.5
IBM,Jan-08,109.36
IBM,Feb-08,97.54
IBM,Mar-08,88.82
IBM,Apr-08,94.15
IBM,May-08,75.82
IBM,Jun-08,72.97
IBM,Jul-08,65.31
IBM,Aug-08,63.86
IBM,Sep-08,68.52
IBM,Oct-08,53.01
IBM,Nov-08,71.76
IBM,Dec-08,79.16
IBM,Jan-09,70.58
IBM,Feb-09,71.22
IBM,Mar-09,71.13
IBM,Apr-09,71.57
IBM,May-09,77.47
IBM,Jun-09,80.48
IBM,Jul-09,75.42
IBM,Aug-09,74.28
IBM,Sep-09,75.12
IBM,Oct-09,80.91
IBM,Nov-09,81.96
IBM,Dec-09,83.08
IBM,Jan-10,85.05
IBM,Feb-10,91.06
IBM,Mar-10,88.7
IBM,Mar-08,84.41
IBM,Apr-08,81.04
IBM,May-08,81.59
IBM,Jun-08,81.19
IBM,Jul-08,80.19
IBM,Aug-08,78.17
IBM,Sep-08,79.13
IBM,Oct-08,82.84
IBM,Nov-08,87.15
IBM,Dec-08,91.16
IBM,Jan-09,86.39
IBM,Feb-09,85.78
IBM,Mar-09,84.66
IBM,Apr-09,70.77
IBM,May-09,70.18
IBM,Jun-09,68.93
IBM,Jul-09,77.53
IBM,Aug-09,75.07
IBM,Sep-09,74.7
IBM,Oct-09,76.25
IBM,Nov-09,82.98
IBM,Dec-09,76.73
IBM,Jan-10,75.89
IBM,Feb-10,75.09
IBM,Mar-10,77.17
IBM,Jan-00,77.05
IBM,Feb-00,75.04
IBM,Mar-00,72.15
IBM,Apr-00,72.7
IBM,May-00,76.35
IBM,Jun-00,77.26
IBM,Jul-00,87.06
IBM,Aug-00,86.95
IBM,Sep-00,91.9
IBM,Oct-00,93.79
IBM,Nov-00,88.18
IBM,Dec-00,89.44
IBM,Jan-01,96.98
IBM,Feb-01,101.54
IBM,Mar-01,100.25
IBM,Apr-01,105.4
IBM,May-01,111.54
IBM,Jun-01,112.6
IBM,Jul-01,111
IBM,Aug-01,100.9
IBM,Sep-01,103.7
IBM,Oct-01,102.75
IBM,Nov-01,109.64
IBM,Dec-01,110.87
IBM,Jan-02,116.23
IBM,Feb-02,125.14
IBM,Mar-02,114.6
IBM,Apr-02,123.74
IBM,May-02,118.16
IBM,Jun-02,113.53
IBM,Jul-02,90.24
IBM,Aug-02,79.65
IBM,Sep-02,82.15
IBM,Oct-02,89.46
IBM,Nov-02,90.32
IBM,Dec-02,95.09
IBM,Jan-03,101.29
IBM,Feb-03,104.85
IBM,Mar-03,103.01
IBM,Apr-03,116.34
IBM,May-03,117
IBM,Jun-03,118.55
IBM,Jul-03,119.54
IBM,Aug-03,125.79
IBM,Sep-03,130.32
IBM,Oct-03,121.85
IBM,Nov-03,127.16
IBM,Dec-03,125.55
AAPL,Jan-04,25.94
AAPL,Feb-04,28.66
AAPL,Mar-04,33.95
AAPL,Apr-04,31.01
AAPL,May-04,21
AAPL,Jun-04,26.19
AAPL,Jul-04,25.41
AAPL,Aug-04,30.47
AAPL,Sep-04,12.88
AAPL,Oct-04,9.78
AAPL,Nov-04,8.25
AAPL,Dec-04,7.44
AAPL,Jan-05,10.81
AAPL,Feb-05,9.12
AAPL,Mar-05,11.03
AAPL,Apr-05,12.74
AAPL,May-05,9.98
AAPL,Jun-05,11.62
AAPL,Jul-05,9.4
AAPL,Aug-05,9.27
AAPL,Sep-05,7.76
AAPL,Oct-05,8.78
AAPL,Nov-05,10.65
AAPL,Dec-05,10.95
AAPL,Jan-06,12.36
AAPL,Feb-06,10.85
AAPL,Mar-06,11.84
AAPL,Apr-06,12.14
AAPL,May-06,11.65
AAPL,Jun-06,8.86
AAPL,Jul-06,7.63
AAPL,Aug-06,7.38
AAPL,Sep-06,7.25
AAPL,Oct-06,8.03
AAPL,Nov-06,7.75
AAPL,Dec-06,7.16
AAPL,Jan-07,7.18
AAPL,Feb-07,7.51
AAPL,Mar-07,7.07
AAPL,Apr-07,7.11
AAPL,May-07,8.98
AAPL,Jun-07,9.53
AAPL,Jul-07,10.54
AAPL,Aug-07,11.31
AAPL,Sep-07,10.36
AAPL,Oct-07,11.44
AAPL,Nov-07,10.45
AAPL,Dec-07,10.69
AAPL,Jan-08,11.28
AAPL,Feb-08,11.96
AAPL,Mar-08,13.52
AAPL,Apr-08,12.89
AAPL,May-08,14.03
AAPL,Jun-08,16.27
AAPL,Jul-08,16.17
AAPL,Aug-08,17.25
AAPL,Sep-08,19.38
AAPL,Oct-08,26.2
AAPL,Nov-08,33.53
AAPL,Dec-08,32.2
AAPL,Jan-09,38.45
AAPL,Feb-09,44.86
AAPL,Mar-09,41.67
AAPL,Apr-09,36.06
AAPL,May-09,39.76
AAPL,Jun-09,36.81
AAPL,Jul-09,42.65
AAPL,Aug-09,46.89
AAPL,Sep-09,53.61
AAPL,Oct-09,57.59
AAPL,Nov-09,67.82
AAPL,Dec-09,71.89
AAPL,Jan-10,75.51
AAPL,Feb-10,68.49
AAPL,Mar-10,62.72
AAPL,Mar-08,70.39
AAPL,Apr-08,59.77
AAPL,May-08,57.27
AAPL,Jun-08,67.96
AAPL,Jul-08,67.85
AAPL,Aug-08,76.98
AAPL,Sep-08,81.08
AAPL,Oct-08,91.66
AAPL,Nov-08,84.84
AAPL,Dec-08,85.73
AAPL,Jan-09,84.61
AAPL,Feb-09,92.91
AAPL,Mar-09,99.8
AAPL,Apr-09,121.19
AAPL,May-09,122.04
AAPL,Jun-09,131.76
AAPL,Jul-09,138.48
AAPL,Aug-09,153.47
AAPL,Sep-09,189.95
AAPL,Oct-09,182.22
AAPL,Nov-09,198.08
AAPL,Dec-09,135.36
AAPL,Jan-10,125.02
AAPL,Feb-10,143.5
AAPL,Mar-10,173.95
AAPL,Jan-00,188.75
AAPL,Feb-00,167.44
AAPL,Mar-00,158.95
AAPL,Apr-00,169.53
AAPL,May-00,113.66
AAPL,Jun-00,107.59
AAPL,Jul-00,92.67
AAPL,Aug-00,85.35
AAPL,Sep-00,90.13
AAPL,Oct-00,89.31
AAPL,Nov-00,105.12
AAPL,Dec-00,125.83
AAPL,Jan-01,135.81
AAPL,Feb-01,142.43
AAPL,Mar-01,163.39
AAPL,Apr-01,168.21
AAPL,May-01,185.35
AAPL,Jun-01,188.5
AAPL,Jul-01,199.91
AAPL,Aug-01,210.73
AAPL,Sep-01,192.06
AAPL,Oct-01,204.62
AAPL,Nov-01,223.02
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
